"broke","prze³ama³","prze³ama³a","prze³ama³o","prze³amali","prze³ama³y","prze³ama³y","4"
"is in an uptrend supported by","znajduje siê w trendzie wzrostowym wspartym przez","znajduje siê w trendzie wzrostowym wspartym przez","znajduje siê w trendzie wzrostowym wspartym przez","znajduj± siê w trendzie wzrostowym wspartym przez","znajduj± siê w trendzie wzrostowym wspartym przez","znajduj± siê w trendzie wzrostowym wspartym przez","4"
"is high","jest wysoki","jest wysoka","jest wysokie","s± wysocy","s± wysokie","s± wysokie","0"
"are parallel","jest równoleg³y","jest równoleg³a","jest równoleg³e","s± równolegli","s± równoleg³e","s± równoleg³e","0"
"form","tworzy","tworzy","tworzy","tworz±","tworz±","tworz±","4"
"indicate a bullish pressure on","wskazuje na tendencje wzrostowe na","wskazuje na tendencje wzrostowe na","wskazuje na tendencje wzrostowe na","wskazuj± na tendencje wzrostowe na","wskazuj± na tendencje wzrostowe na","wskazuj± na tendencje wzrostowe na","6"
"should find a resistance below","powinien natrafiæ na opór poni¿ej poziomu","powinna natrafiæ na opór poni¿ej poziomu","powinno natrafiæ na opór poni¿ej poziomu","powinni natrafiæ na opór poni¿ej poziomu","powinny natrafiæ na opór poni¿ej poziomu","powinny natrafiæ na opór poni¿ej poziomu","2"
"should consolidate","powinien ulec konsolidacji","powinna ulec konsolidacji","powinno ulec konsolidacji","powinni ulec konsolidacji","powinny ulec konsolidacji","powinny ulec konsolidacji","0"
"we won\'t take","nie zajmowaliby¶my","nie zajmowaliby¶my","nie zajmowaliby¶my","nie zajmowaliby¶my","nie zajmowaliby¶my","nie zajmowaliby¶my","2"
"is too high to take","jest zbyt wysoki, aby zaj±æ","jest zbyt wysoka, aby zaj±æ","jest zbyt wysokie, aby zaj±æ","s± zbyt wysocy, aby zaj±æ","s± zbyt wysokie, aby zaj±æ","s± zbyt wysokie, aby zaj±æ","4"
"are deviated","rozbiega siê","rozbiega siê","rozbiega siê","rozbiegaj± siê","rozbiegaj± siê","rozbiegaj± siê","0"
"is in","znajduje siê w","znajduje siê w","znajduje siê w","znajduj± siê w","znajduj± siê w","znajduj± siê w","6"
"rises","wzrasta","wzrasta","wzrasta","wzrastaj±","wzrastaj±","wzrastaj±","0"
"indicate a bearish pressure on","wskazuje na tendencje spadkowe na","wskazuje na tendencje spadkowe na","wskazuje na tendencje spadkowe na","wskazuj± na tendencje spadkowe na","wskazuj± na tendencje spadkowe na","wskazuj± na tendencje spadkowe na","6"
"should find a support above","powinien natrafiæ na wsparcie powy¿ej poziomu","powinna natrafiæ na wsparcie powy¿ej poziomu","powinno natrafiæ na wsparcie powy¿ej poziomu","powinni natrafiæ na wsparcie powy¿ej poziomu","powinny natrafiæ na wsparcie powy¿ej poziomu","powinny natrafiæ na wsparcie powy¿ej poziomu","2"
"should continue","powinien trwaæ w dalszym ci±gu","powinna trwaæ w dalszym ci±gu","powinno trwaæ w dalszym ci±gu","powinni trwaæ w dalszym ci±gu","powinny trwaæ w dalszym ci±gu","powinny trwaæ w dalszym ci±gu","0"
"will be","bêdzie","bêdzie","bêdzie","bêd±","bêd±","bêd±","5"
"should continue to move in","powinien nadal poruszaæ siê wewn±trz","powinna nadal poruszaæ siê wewn±trz","powinno nadal poruszaæ siê wewn±trz","powinni nadal poruszaæ siê wewn±trz","powinny nadal poruszaæ siê wewn±trz","powinny nadal poruszaæ siê wewn±trz","2"
"is in an downtrend directed by","jest w trendzie spadkowym wyznaczonym przez","jest w trendzie spadkowym wyznaczonym przez","jest w trendzie spadkowym wyznaczonym przez","s± w trendzie spadkowym wyznaczonym przez","s± w trendzie spadkowym wyznaczonym przez","s± w trendzie spadkowym wyznaczonym przez","4"
"are flat","jest p³aski","jest p³aska","jest p³askie","s± p³askie","s± p³askie","s± p³askie","0"
"is in a bearish configuration","wskazuje na rynek nied¼wiedzia","wskazuje na rynek nied¼wiedzia","wskazuje na rynek nied¼wiedzia","wskazuj± na rynek nied¼wiedzia","wskazuj± na rynek nied¼wiedzia","wskazuj± na rynek nied¼wiedzia","0"
"moves without","porusza siê bez","porusza siê bez","porusza siê bez","poruszaj± siê bez","poruszaj± siê bez","poruszaj± siê bez","2"
"swings around","waha siê wokó³","waha siê wokó³","waha siê wokó³","wahaj± siê wokó³","wahaj± siê wokó³","wahaj± siê wokó³","2"
"decreases","spada","spada","spada","spadaj±","spadaj±","spadaj±","0"
"are tightened","jest zawê¿ony","jest zawê¿ona","jest zawê¿one","s± zawê¿eni","s± zawê¿one","s± zawê¿one","0"
"seems to be finished","wydaje siê byæ zakoñczony","wydaje siê byæ zakoñczona","wydaje siê byæ zakoñczone","wydaj± siê byæ zakoñczeni","wydaj± siê byæ zakoñczone","wydaj± siê byæ zakoñczone","0"
"we could take","mo¿emy zaj±æ","mo¿emy zaj±æ","mo¿emy zaj±æ","mo¿emy zaj±æ","mo¿emy zaj±æ","mo¿emy zaj±æ","4"
"we will put","ustawiliby¶my","ustawiliby¶my","ustawiliby¶my","ustawiliby¶my","ustawiliby¶my","ustawiliby¶my","4"
"are","jest","jest","jest","s±","s±","s±","5"
"is dangerous","jest niebezpieczny","jest niebezpieczna","jest niebezpieczne","s± niebezpieczni","s± niebezpieczne","s± niebezpieczne","0"
"take care","zachowajcie ostro¿no¶æ","zachowajcie ostro¿no¶æ","zachowajcie ostro¿no¶æ","zachowajcie ostro¿no¶æ","zachowajcie ostro¿no¶æ","zachowajcie ostro¿no¶æ","0"
"put","ustawcie","ustawcie","ustawcie","ustawcie","ustawcie","ustawcie","4"
"is in a range between","porusza siê w obszarze pomiêdzy","porusza siê w obszarze pomiêdzy","porusza siê w obszarze pomiêdzy","poruszaj± siê w obszarze pomiêdzy","poruszaj± siê w obszarze pomiêdzy","poruszaj± siê w obszarze pomiêdzy","5"
"are neutral","wskazuje na trend boczny","wskazuje na trend boczny","wskazuje na trend boczny","wskazuj± na trend boczny","wskazuj± na trend boczny","wskazuj± na trend boczny","0"
"is in a bullish configuration","wskazuje na rynek byka","wskazuje na rynek byka","wskazuje na rynek byka","wskazuj± na rynek byka","wskazuj± na rynek byka","wskazuj± na rynek byka","0"
"should continue to gather momentum","powinien przybraæ na sile","powinna przybraæ na sile","powinno przybraæ na sile","powinni przybraæ na sile","powinny przybraæ na sile","powinny przybraæ na sile","0"
"we are waiting for","oczekujemy na","oczekujemy na","oczekujemy na","oczekujemy na","oczekujemy na","oczekujemy na","4"
"to take","aby zaj±æ","aby zaj±æ","aby zaj±æ","aby zaj±æ","aby zaj±æ","aby zaj±æ","4"
"is low","jest niski","jest niska","jest niskie","s± niscy","s± niskie","s± niskie","0"
