aby była ona,it to be,
aby były one,it is appropriate to provide,
aby chemikalia były,chemicals need to be,
aby dążyć do,in order to pursue,
aby jej odpowiedzi,answer to it,
aby nie marnować,to waste no,
aby nie przekraczały,for resolutions shall not exceed,
aby nie zanieczyszczać,not to contaminate,
aby niniejsza opinia,this own-initiative opinion to contribute,
aby obejmowały potencjalne,to cover the potential,
aby parlament był,be submitted to parliament,
aby pomyślnie zakończyć,to conclude negotiations successfully,
aby pracować zagranicą,to work abroad,
aby promować postęp,to promote progress,
aby promować przejrzystość,to promote transparency,
aby przedłożyła projekt,to submit draft,
aby przygotować regionalne,to prepare regional,
aby przyjmowały nowe,to adopt new,
aby skierował ją,to address it,
aby strategia tematyczna,thematic strategy for the urban,
aby stworzyć korzystne,to create a favourable,
aby stworzyć rozległą,to creating a wide,
aby ten cel,to this end,
aby transport lotniczy,for air transport,
aby wysoki przedstawiciel,high representative for the common,
aby zachęcić inne,to encourage other,
aby zmiana klimatu,to climate change,
adaptacja będzie ciągłym,adaptation will be an ongoing,
adaptacja do zmian,to climate change,
adaptację do zmian,adaptation to climate change,
adaptacji do tych,adaptation to those,
adaptacji do zmian,adaptation to climate change,
adaptacyjna będzie musiała,adaptation strategy will need,
adaptacyjnych do głównego,to help mainstream adaptation strategies,
adaptacyjnych z funduszu,fund support for adaptation programmes,
administracyjną i techniczną,technical and administrative assistance,
administracyjne i finansowe,administrative and financial,
administracyjne lub inne,administrative or other,
administracyjne niezbędne do,administrative provisions necessary to,
administracyjne oraz finansowe,administrative and financial,
administracyjnego i finansowego,administrative and financial,
administracyjnego i kosztów,administrative burden and the cost,
administracyjnej oraz wzajemnej,cooperation and mutual,
administracyjny oraz finansowy,administrative and financial,
administracyjnych do prawodawstwa,legislation and administrative methods to,
administracyjnych i budżetowych,administrative and budgetary,
administracyjnych i instytucjonalnych,administrative and institutional,
administracyjnych i kontraktowych,administrative and contractual,
administracyjnych oraz wewnętrznych,administrative procedures and internal,
administracyjnych w ministerstwie,administrative procedures at the ministry,
aeronautyka i transport,aeronautics and air transport,
agencja środowiska może,environment agency might,
agricultural soils management,management agricultural soils,
akademickich na skalę,academic positions at european scale,
akademickiego i przemysłowego,academic and industrial,
