aby była ona,it to be,
administracyjną i techniczną,technical and administrative assistance,
ale ich koszt,but their costs,
autor pytania głównego,author of the main question,
badawcze w ramach,research teams in the framework,
bardzo przekonywujący argument,very convincing argument,
bezpieczeństwem na poziomie,security research at community level,
będą rozważać zakres,will consider the range,
będzie to prawdziwe,this will be a real,
budownictwie i tym,buildings and new construction to,
być one również,it shall also,
było do krajów,was the first country in,
celem powinno być,objective should be,
chce on brać,he wish to take,
co jest kluczowym,which is a key,
część swoich zasobów,part of their resources,
dać pierwszeństwo promowaniu,give priority to the promotion,
decyzję na podstawie,decision on the basis,
dialog i działanie,dialogue and action,
dla jego operacji,for its financing operations,
dla realizacji swoich,for the implementation of,
dlatego ważne jest,is therefore important,
do długoterminowych działań,to long-term development activities,
do każdego okresu,for each period,
do możliwości tych,to seize this opportunity,
do podstawy prawnej,the legal basis,
do rozwoju wysokiej,to the development of high,
do tego samego,same purpose for which it,
do wszystkich takich,to all such,
dobrowolnych jako alternatywy,voluntary agreements as an alternative,
dopuszczalności i kolejności,admissibility and on the order,
dostęp przez heterogeniczne,access over heterogeneous,
dostępu do wysokiej,access and to use high,
drugiego i następnych,second and subsequent,
dwóch lub trzech,two or three,
działa nie tylko,work would not only,
działań będzie wymagało,activities will require,
edukacji oraz szkoleń,education and training,
elektrycznej i łączności,electrical power and telephone communications,
energii i transportem,supply and energy transport,
ets w pierwszym,ets for the first,
finansowego i pocztowego,financial and postal,
funduszy strukturalnych wpływać,structural funds will be influenced,
gleby i powietrza,soil and the atmosphere,
głosowanie jest tajne,shall vote by secret,
go ponownie do,him once again to,
gospodarczej oraz warunków,economic policy and financial conditions,
grupy ad hoc,ad hoc group,
ich główne działania,their main activities,
ile nie jest,if an application is not,
informacji istotnych dla,information relevant to,
innowacji i mogą,innovation and can,
instytucji lub organu,institution or a body,
israair i sun,israair and sun,
jakichkolwiek innych organów,any other authority,
jako sektor współpracy,as a cooperation sector,
jeden język urzędowy,one official language,
jednym kraju są,one country are,
jej wspólnego stanowiska,its common position,
jest liczony jako,is calculated as,
jest potencjalnie użytecznym,is a potentially useful,
jest wciąż względnie,are still relatively,
jeżeli nie ma,if it has,
języków w szkolnictwie,language learning in,
każdego innego zabezpieczenia,any other security,
każdym posiedzeniu delegacja,delegation after each meeting,
kluczowym priorytetem wspólnoty,key priority for the community,
komisja musi przeprowadzić,commission must carry,
komisja wycofa swój,commission withdraws its,
komisji jeśli komisja,committee if a committee,
kompetentni w odnośnej,competent in the relevant,
konieczne jest ograniczenie,is necessary to limit,
konsultacji z zainteresowanymi,consultation of interested,
kontroli zanieczyszczenia powietrza,control of air pollution,
koordynacji i współpracy,coordination and cooperation,
krajowej i regionalnej,national and regional,
krytyczny dla zdrowia,critical level for human health,
które są bardziej,which are more,
który był przedmiotem,which was the subject,
których nie należą,which they do not belong,
kwas siarkowy podczas,sulphuric acid during,
lista nie jest,list is not,
lotniczego przez każdą,air carrier by each,
łącznie z różnorodnością,including diversity of,
marketingu nowych pojazdów,marketing of the new vehicle,
miałyby znaczny wpływ,have a significant impact,
międzynarodowa polityka ma,international policy has,
międzynarodowym i regionalnym,international and regional,
mogą być one,it may not be,
morskiego i lotniczego,maritime and air,
może to czasami,this may sometimes,
muszą być co,must be updated every,
na dużych wysokościach,at high altitude,
na kolejną dekadę,for the next decade,
na okres trzech,for a period of three,
na poziomie globalnym,at a global level,
na rozwój ekonomiczny,economic development in an integrated,
na szczeblu regionalnym,at regional level,
na wczesnych etapach,an early stage,
na zmiany klimatu,on climate change,
narodowa czy międzynarodowa,national or international,
nauka i technologia,science and technology,
negocjacji nad nową,negotiations on the new,
nie mogą bezpośrednio,may not take part directly,
nie są one,they are not directly,
nieoczekiwana reakcja klimatu,unexpected response of the climate,
niezbędnej jakościowej infrastruktury,necessary quality infrastructure,
niniejsze rozporządzenie zastąpi,this regulation will replace,
niniejszym ustępem są,this paragraph shall,
nowy projekt budżetu,new draft budget,
o społecznym udziale,for public participation,
obecni na sali,present in the chamber,
obszarze reform politycznych,area of political reform,
ochrona lotnictwa jest,aviation security is,
od innej strony,from another party,
oddziaływania zmian klimatu,impact of climate change,
odpowiedzi i zaangażowania,response and engagement,
oferują bardzo ograniczoną,offer a very limited,
ograniczoną ocenę oddziaływania,limited impact assessment,
one bardziej niż,they are more exposed than,
opracowała ramy programowania,elaborated the programming framework,
oryginał niniejszego protokołu,original of this protocol,
otwarta dla wszystkich,open to all,
oznacza wszelkie urządzenia,means any device,
parlament lub jeżeli,parliament or if,
partnerstwa między komisją,partnership between the commission,
pierwszą sesją konferencji,first session of the conference,
pisemną lub ustną,written or oral,
po przystępnej cenie,at an accessible cost,
poddane ocenie pod,evaluation are then subject to,
podstawę dla wymiaru,basis for the environmental dimension,
pogodowe i inne,weather events and other,
politycznych i społecznych,political and societal,
polu współpracy regionalnej,field of regional cooperation,
ponieważ adaptacja będzie,because adaptation will,
poprzez bezpośrednie spalanie,through direct incineration,
porozumieniu z właściwymi,agreement with the competent,
poszanowaniem zróżnicowania warunków,respecting the diversity of conditions,
poufnych informacji mogą,may request confidential information,
powinno być dlatego,should therefore be,
poziom ochrony dla,level of protection to,
pracy z rynkiem,working with the market,
prawodawstwo i podejścia,legislation and the strategic approaches,
produkcję biomasy do,production of biomass,
programie jest otwarty,programme shall be open,
projektu lub programu,project or programme,
prowadzić do długofalowego,lead to a long-term,
przedmiot i zakres,subject matter and scope,
przejrzysty system sprawozdawczości,transparent system for reporting,
przestrzeń lotnicza stworzyłaby,aviation area would create,
przez kilka ostatnich,over the last few,
przez rząd państwa,by the third country government,
przy zastosowaniu porównywalnych,using comparable methodologies to be,
przyjęciu lub odrzuceniu,adoption or rejection,
przypadku w sposób,case in a manner,
publicznego lub prywatnego,public or private,
rada nie przyjmie,council has not adopted,
ramach niniejszego programu,this framework programme,
realizację protokołu przez,implementation of this protocol by,
regionalne i dialog,regional conflicts and political dialogue,
regionalnym oraz lokalnym,regional and local,
reprezentatywne próbki gleby,sampling the representative soil,
rola podkomitet działa,role the subcommittee shall work,
rozległej strategii bezpieczeństwa,comprehensive security strategy,
rozwijaniu zdolności do,developing the capacity,
rozwój i demonstrację,development and demonstration,
równo pomiędzy wszystkie,equally among all,
rynku i rygorystycznymi,opening and strict,
samoloty jakiegokolwiek typu,craft of any type,
są pod głosowanie,be put to the vote,
sąsiedztwa plan działań,neighbourhood policy action plan,
silnej i spójnej,strong and coherent,
skutecznego dialogu obywatelskiego,effective civil dialogue,
służyć jako sekretariat,serve as the secretariat,
społeczeństwa oraz polityki,society and climate policy,
społeczny i ekonomiczny,economic and social development,
spójności działań krajowych,coherence of national activities,
sprawozdania w terminie,report within the time,
stałe o wartości,solid fuels with a value,
stopień ich zaangażowania,degree of their commitment,
stosunków z komitetem,relations with the committee,
streszczenie i główne,summary and main,
sumy pieniędzy nie,amount of money should not,
system elektroniczny nie,electronic voting system can not,
szczególnym znaczeniu naukowym,special scientific importance,
ściekowych w rolnictwie,sewage sludge in agriculture,
środowiska i rozwoju,environment and development,
światowych i regionalnych,global and regional,
takich jak użytkowanie,such as land use,
takimi jak modelowanie,such as air quality modelling,
technicznych i finansowych,technical and financial,
tempa i wpływu,pace and impact,
to korzyść zarówno,this will benefit both,
transport lotniczy stał,air transport to become,
trzy godziny przed,three hours prior,
tym konieczne będzie,will need to be,
ubóstwo jest bezpośrednio,poverty is directly,
układu o stowarzyszeniu,association agreement with,
uprawnień do emisji,emission rights to,
uszczerbku dla uprawnień,prejudice to the powers,
używane w bardzo,used in very,
w czwartym roku,in the fourth year,
w dziedzinie handlu,in the trade field,
w jej artykule,in its article,
w kontekście przystąpienia,within the context of accession,
w niniejszym rozporządzeniu,in this regulation,
w pierwszym okresie,for the first trading period,
w projekcie budżetu,the draft budget,
w ramach wspólnoty,within the community framework,
w sobie nie,in itself does not,
w swój drugi,in its second,
w tym do,ten guidelines for action in,
w załączniku iib,in annex iib,
ważną część tych,important part of this,
według której zgoda,which are in accordance,
wiatru na transport,wind on horizontal transport,
wkład ten może,this contribution may,
wniosek tymczasowej komisji,request from the temporary committee,
wpływ na bezpieczeństwo,impact on human safety,
wskazania poprzez etykietowanie,indication by labelling,
wspólną dyskusję nad,joint debate on,
wspólnej przestrzeni lotniczej,common aviation area,
