"aby skierował ją do innego organu","to address it to another authority"
"aktywnego i pasywnego ogrzewania i chłodzenia","active and passive heating and cooling"
"ale ich główne działania są często","but their main activities are often"
"badań naukowych i technicznych oraz promować","scientific and technical research and promote"
"bardziej intensywnych i owocnych stosunków między","more intense and fruitful relations between"
"bezpieczeństwo łańcucha dostaw i ułatwienie handlu","supply chain security and trade facilitation"
"bezpośrednio w formie elektronicznej lub poprzez","directly in electronic form or through"
"bodźca dla innowacji i mogą dostarczać","stimulus for innovation and can provide"
"być migracja ludności na dużą skalę","to be large scale population migration"
"całkowitej lub częściowej odmowy i poinformuje","total or partial refusal and inform"
"choroby u ludzi lub innych żywych","disease in man or other living"
"debaty przez jej autora lub przez","debate by its author or by"
"dla innowacji i mogą dostarczać przedsiębiorstwom","for innovation and can provide business"
"dla konsumentów bardzo przekonywujący argument za","very convincing argument for consumers to"
"dla przyrody są poważne i wymagają","for nature are severe and necessitate"
"do modelowania i oszacowania celu jest","for modelling and objective estimation is"
"do postępu naukowego i technicznego będą","to scientific and technical progress will"
"do swoich procesów budżetowych oraz do","into their budgetary processes and into"
"do wsparcia społeczeństwa obywatelskiemu w walce","for civil society support in combating"
"do zmian temperatury i warunków pogodowych","for changing temperature and weather conditions"
"dostęp w formie elektronicznej lub poprzez","access in electronic form or through"
"duże znaczenie jakościowe dla ich rozwoju","great qualitative importance for their development"
"dwutlenku węgla i innych gazów cieplarnianych","carbon dioxide and other greenhouse gases"
"dyrektywy do postępu naukowego i technicznego","directive to scientific and technical progress"
"dyskusja nad zmianami klimatu nadmiernie skupia","discussion on climate change focuses excessively"
"działania - aeronautyka i transport lotniczy","activities - aeronautics and air transport"
"działania na poziomie regionalnym często opierają","activities at regional level often rely"
"etykietowanie oraz standardowe informacje o produkcie","by labelling and standard product information"
"finansowanie pożyczek i gwarancji z jego","loan and guarantee financing from its"
"globalny monitoring dla środowiska i bezpieczeństwa","global monitoring for environment and security"
"historyczny rok lub okres bazowy inny","historical base year or period other"
"innych podstawowych zasobów oraz informacje dodatkowe","other essential resources and supplementary information"
"inwazyjnych obcych gatunków łącznie z obcymi","of invasive alien species including alien"
"jeszcze bardziej znaczące stosunki z tymi","even more significant relations with those"
"jeżeli jest to konieczne do wsparcia","when this is necessary to support"
"każda instytucja może w swoim regulaminie","each institution may in its rules"
"konieczne jest bardziej systematyczne podejście do","more systematic approach is needed to"
"kontakcie z wodą lub wilgotnym powietrzem","contact with water or damp air"
"konwencji i w każdym z jej","convention and in any of its"
"korupcją oraz wszelką nielegalną działalnością szkodliwą","corruption and any illegal activity detrimental"
"które nie są dostępne bezpośrednio poprzez","which are not directly accessible through"
"ma duże znaczenie jakościowe dla ich","has great qualitative importance for their"
"miejsce w parlamencie i w jego","his seat in parliament and on"
"może być dostosowany do postępu technicznego","may be adapted to technical progress"
"na jej pierwszej sesji i okresowo","at its first session and periodically"
"na potrzebę skutecznego zarządzania i koordynacji","need for effective management and coordination"
"na transport poziomy i mieszanie pionowe","on horizontal transport and vertical mixing"
"na wymianę informacji oraz zarządzanie wiedzą","to information sharing and knowledge management"
"nauki i technologii oraz ich miejsca","science and technology and their place"
"nauki i technologii oraz ich relacji","science and technology and their relationship"
"nie jest całkowicie wolne od opłat","is not fully free of charge"
"nie ma dostępu do żadnych poufnych","not have access to any confidential"
"nie powinna w żaden sposób umniejszać","should not detract in any way"
"nowe i dodatkowe środki finansowe dla","new and additional financial resources to"
"o specjalnym znaczeniu naukowym lub innego","special scientific importance or on other"
"od dostępności zasobów i materiałów surowych","availability of resources and raw materials"
"odpowiedzialności poprzez niezależną kontrolę i weryfikację","accountability through independent auditing and verification"
"ograniczony dostęp do informacji dla wszystkich","restricted access to information for all"
"ogromnym potencjalnym światowym rynkiem na takie","huge potential global market for such"
"organ zarządzający może być wspierany przez","managing authority may be assisted by"
"oświadczenie z podobnym skutkiem w stosunku","declaration with like effect in relation"
"otwarcia rynku i rygorystycznymi warunkami rynkowymi","market opening and strict market conditions"
"oznaczają płynne lub gazowe paliwa dla","means liquid or gaseous fuel for"
"państwa lub regionalnej organizacji integracji gospodarczej","state or regional economic integration organization"
"państwo lub regionalną organizację integracji gospodarczej","state or regional economic integration organization"
"parlamencie lub w jednym z jego","parliament or in one of its"
"płynne lub gazowe paliwa dla transportu","liquid or gaseous fuel for transport"
"podobnym skutkiem w stosunku do arbitrażu","like effect in relation to arbitration"
"polityka gospodarcza i warunki finansowe są","economic policy and financial conditions are"
"potrzebę prób na zwierzętach i rozwijają","need for animal testing and develop"
"produkowany z oleju roślinnego lub zwierzęcego","produced from vegetable or animal oil"
"programie może być także otwarty dla","programme may also be open to"
"programu i dlatego nie powinny być","programme and therefore should not be"
"prób na zwierzętach i rozwijają alternatywne","for animal testing and develop alternative"
