"EUR USD","para walutowa EURUSD","pary walutowej EURUSD","parze walutowej EURUSD","parê walutow± EURUSD","par± walutow± EURUSD","parze walutowej EURUSD","12"
"GBP USD","para walutowa GBPUSD","pary walutowej GBPUSD","parze walutowej GBPUSD","parê walutow± GBPUSD","par± walutow± GBPUSD","parze walutowej GBPUSD","12"
"USD CHF","para walutowa USDCHF","pary walutowej USDCHF","parze walutowej USDCHF","parê walutow± USDCHF","par± walutow± USDCHF","parze walutowej USDCHF","12"
"USD JPY","para walutowa USDJPY","pary walutowej USDJPY","parze walutowej USDJPY","parê walutow± USDJPY","par± walutow± USDJPY","parze walutowej USDJPY","12"
"GBP JPY","para walutowa GBPJPY","pary walutowej GBPJPY","parze walutowej GBPJPY","parê walutow± GBPJPY","par± walutow± GBPJPY","parze walutowej GBPJPY","12"
"EUR JPY","para walutowa EURJPY","pary walutowej EURJPY","parze walutowej EURJPY","parê walutow± EURJPY","par± walutow± EURJPY","parze walutowej EURJPY","12"
"USD CAD","para walutowa USDCAD","pary walutowej USDCAD","parze walutowej USDCAD","parê walutow± USDCAD","par± walutow± USDCAD","parze walutowej USDCAD","12"
"AUD USD","para walutowa AUDUSD","pary walutowej AUDUSD","parze walutowej AUDUSD","parê walutow± AUDUSD","par± walutow± AUDUSD","parze walutowej AUDUSD","12"
"EUR CHF","para walutowa EURCHF","pary walutowej EURCHF","parze walutowej EURCHF","parê walutow± EURCHF","par± walutow± EURCHF","parze walutowej EURCHF","12"
"EUR GBP","para walutowa EURGBP","pary walutowej EURGBP","parze walutowej EURGBP","parê walutow± EURGBP","par± walutow± EURGBP","parze walutowej EURGBP","12"
"EUR AUD","para walutowa EURAUD","pary walutowej EURAUD","parze walutowej EURAUD","parê walutow± EURAUD","par± walutow± EURAUD","parze walutowej EURAUD","12"
"EUR CAD","para walutowa EURCAD","pary walutowej EURCAD","parze walutowej EURCAD","parê walutow± EURCAD","par± walutow± EURCAD","parze walutowej EURCAD","12"
"resistance","poziom oporu","poziomu oporu","poziomowi oporu","poziom oporu","poziomem oporu","poziomie oporu","11"
