aby promować przejrzystość i odpowiedzialność,to promote transparency and accountability
administracyjnych oraz wewnętrznych i zewnętrznych,administrative procedures and internal and external
ale także dla każdej organizacji,but also for any organisation
alokacja finansowa dla programu może,financial allocation for the programme may
badania takie są niezbędne dla,such research is essential to
bardziej intensywnych i owocnych stosunków,more intense and fruitful relations
bardziej szczegółowa ocena oddziaływania będzie,more detailed impact assessment will
bez uszczerbku dla dyrektywy rady,without prejudice to council directive
bezpieczeństwa energetycznego i integracji rynków,energy security and market integration
bezpośredni dostęp w formie elektronicznej,direct access in electronic form
będą musiały być gotowe do,will need to be ready
będzie ściśle współpracował z międzyrządowym,will cooperate closely with the intergovernmental
biura prasowego oraz pełnego zaangażowania,press office and for full involvement
budżetu wspólnoty poprzez pośrednie zarządzanie,community budget through centralised indirect management
być szkodliwe dla zdrowia ludzi,be harmful to human health
centralną rolę edukacji i szkoleń,central role of education and training
chemikalia lub jakiekolwiek inne substancje,chemicals or any other substance
ciężkie mogą być toksyczne dla,heavy metals may be toxic to
człowieka i poszanowania podstawowych wolności,human rights and respect for fundamental
dane i informacje o stanie,data and information on the state
demokratycznego społeczeństwa otwartego na wszystkich,democratic society open to all
dla innowacji i mogą dostarczać,for innovation and can provide
dla konsumentów bardzo przekonywujący argument,very convincing argument for consumers
dla sektora publicznego i prywatnego,for the public and private sector
dla zdrowia ludzi lub środowiska,human health or to the environment
do finansowania i transferu technologii,to funding and transfer of technology
do ich znaczenia i nie,with their importance and should not
do niniejszej dyrektywy lub odniesienie,reference to this directive or shall
do postępu naukowego i technicznego,to scientific and technical progress
do swojego pierwszego okresu zobowiązań,for its first commitment period
do wydania pozytywnej opinii komisji,positive opinion issued by the commission
do zasobów finansowych i transferu,to financial resources and transfer
dokładną i kompleksową ocenę techniczną,thorough and comprehensive technical assessment
dostawami energii i transportem energii,energy supply and energy transport
dostęp do informacji dla wszystkich,access to information for all
dostępnych i niezbędnych do wdrażania,necessary and available for the implementation
doświadczeniem i wymiany informacji o,experience and exchange information on
dużym stopniu uzupełniałby transport indywidualny,large extent complementing individual transport
dwutlenku węgla i rozwój ten,carbon dioxide emissions and this expansion
działalności i końcowe sprawozdania finansowe,activity report and final financial
działania na poziomie regionalnym często,activities at regional level often
działań będzie wymagało formalnego zobowiązania,activities will require a formal commitment
ekonomicznej i społecznej na każdym,economic and social policies at all
elementy strukturalne protokołu z kyoto,structural elements of the kyoto protocol
energii i materiałów oraz podróż,energy and materials use and travelling
energii oraz innych zasobów przez,energy and other resources by
ewolucji wiedzy naukowej i technicznej,evolution of scientific and technological knowledge
finansowa kwota odniesienia do realizacji,financial reference amount for the implementation
formie elektronicznej czy jako dźwięk,electronic form or as a sound
funduszu socjalnego i funduszu spójności,social fund and the cohesion fund
funduszy strukturalnych nie była oczywista,structural fund programme were not apparent
globalnego ocieplenia i zmiany klimatu,global warming and climate change
głosowania prawo do głosowania jest,vote the right to vote is
granice misji eu bam rafah,border monitoring mission eu bam rafah
gwarancję budżetową wspólnoty na operacje,community budgetary guarantee for operations
ich główne działania są często,their main activities are often
ich relacji z całym spektrum,their relationship with the whole spectrum
ich warunkami społecznymi i ekonomicznymi,their social and economic conditions
ilość informacji o zmianach klimatu,amount of information on climate change
informacji o zmianach klimatu jest,information on climate change is
innych podstawowych zasobów oraz informacje,other essential resources and supplementary information
integracji gospodarczej i współpracy politycznej,economic integration and political cooperation
interakcje na szczeblu regionalnym są,interaction at regional level is
istotną społeczną i gospodarczą funkcję,vital social and economic function
jak ograniczony potencjał narodowy do,as the limited national potential for
jakość życia i globalna współzależność,quality of life and global interdependence
jednolitej i jednoznacznej klasyfikacji taryf,uniform and unambiguous tariff classification
jego ochrona lotnictwa jest prawdopodobnie,its aviation security is probably
jej publikacji w dzienniku urzędowym,its publication in the official journal
jest całkowicie wolne od opłat,is not fully free of charge
jest obecnie konstruktywne przywództwo polityczne,now is a constructive political leadership
jest to użyteczne dla osiągnięcia,this is useful for the achievement
jest zgodne z jego interpretacją,is consistent with its interpretation
jeżeli jest to konieczne do,when this is necessary to
każda instytucja może w swoim,each institution may in its
każdego innego zabezpieczenia lub zabezpieczenia,any other security or collateral
każdego z krajów lub regionów,for each country or region
kg całkowitego siarczanu na tonę,kg of total sulphate per tonne
komisja kultury i edukacji komisja,committee on culture and education committee
komisji odpowiedzialnej za kontrolę budżetową,committee responsible for budgetary control
konieczne jest bardziej systematyczne podejście,more systematic approach is needed to
konsumentów i przedsiębiorstw do nowych,consumers and businesses for new
konwencja o dostępie do informacji,convention on access to information
konwencji na jej pierwszej sesji,convention at its first session
koperta finansowa na wdrażanie niniejszego,financial envelope for implementation of this
kosztów adaptacji do tych niekorzystnych,costs of adaptation to those adverse
kraje rozwinięte i inne rozwinięte,developed country parties and other developed
królestwo działało w dobrej wierze,kingdom was acting in good faith
które nie są dostępne bezpośrednio,which are not directly accessible
które są wspólne dla wszystkich,which are common to all
który jest z kolei jednym,who is in turn one of
których każdy finansowany jest przez,which are each financed by
kwoty fakultatywnej i jej rozdziale,optional amount and its regional distribution
lokalne i regionalne będą musiały,local and regional authorities will need
lotnictwa do eu ets po,aviation into the eu ets after
ludzkich i wsparcie dla edukacji,human resources and support for education
łącznie z różnorodnością zasobów genetycznych,including diversity of genetic resources
ma duże znaczenie jakościowe dla,has great qualitative importance for
materiałami może być dozwolone tylko,materials may be permitted only
mieli dostęp do wysokiej jakości,have access to high quality
między wszystkimi starymi i nowymi,between all the old and new
międzynarodowego systemu walutowego i finansowego,international monetary and financial system
międzynarodowy transport lotniczy jest jedną,international air transport is one
mogą w zasadzie być używane,may in principle be used
może być otwarty dla wszystkich,may be open to all
może być wspierany przez wspólny,may be assisted by a joint
może je w każdej chwili,it may at any time
możliwość współpracy administracyjnej oraz wzajemnej,possibility for administrative cooperation and mutual
musiały być gotowe do pomocy,need to be ready to help
na bardzo ścisłym partnerstwie między,on a very close partnership between
na celu zapobieganie i kontrolowanie,aimed at the prevention and control
na konieczne działania i realizację,for the necessary action and implementation
na popyt na transport lotniczy,on the demand for air transport
na poziomie regionalnym często opierają,at regional level often rely
na przykład poprzez zastosowanie instrumentów,for example by using the instrument
na spójność gospodarczą i społeczną,on economic and social cohesion
na szczeblu krajowym i lokalnym,at national and local level
na szczeblu regionalnym i lokalnym,the regional and local level
na szczeblu regionalnymi i lokalnym,at the regional and local level
na transporcie drogowym i lotniczym,on road and air transport
na uwadze obecne i przyszłe,regard to present and future
na zdrowie i dobrobyt człowieka,on human health and welfare
na zwierzętach i rozwijają alternatywne,for animal testing and develop alternative
natężenie transportu drogowego oznacza również,road transport volume also means
nauczania i nauki języków obcych,foreign language teaching and learning
nauki i technologii oraz ich,science and technology and their
nie jest dopuszczalne w przypadku,not be admissible in the case
nie ma dostępu do żadnych,not have access to any
nie może być w tym,can not be used for this
nie powinna mieć negatywnego wpływu,should not have a negative impact
nie są dopuszczalne w przypadku,not be admissible in the case
nie tylko na szczeblu krajowym,not only on the national level
niezależną kontrolę i weryfikację projektów,independent auditing and verification of project
niniejsze rozporządzenie zastąpi rozporządzenie rady,this regulation will replace council regulation
niniejszego rozporządzenia oraz program działań,this regulation and an action programme
niniejszej decyzji w poprzednim roku,this decision in the preceding year
nowe ramy planowania i przekazywania,new framework for planning and delivering
o handel i integrację gospodarczą,on trade and economic integration
o współpracy finansowej i technicznej,on financial and technical cooperation
obecną praktykę i nie będzie,current practice and will not
ocenę współpracy i stosunków między,evaluation of eu-ukraine cooperation and relations
ochrona i właściwa odbudowa przyrody,protection and appropriate restoration of nature
odbijają promieniowanie i mają słabe,reflect radiation and have a slight
ograniczenia wzrostu średniej światowej temperatury,limiting the global average temperature increase
opakowania transportowe lub opakowania trzeciorzędne,transport packaging or tertiary packaging
organ zarządzający może być wspierany,managing authority may be assisted
ostateczna dokument roboczy komisji sprawozdanie,final commission working document report
otwarcie rynku i wzajemne uznawanie,market opening and the mutual recognition
oznacza detalistę lub inną osobę,means a retailer or other person
oznaczają wszelkie opakowania lub materiały,mean any packaging or packaging material
państwa bez jego uprzedniej zgody,state without its prior agreement
państwa trzeciego lub organizacji regionalnej,third country or regional organisation
parlament może w każdym czasie,parliament may decide at any time
parlamentowi wszelkich informacji istotnych dla,parliament with any information relevant to
pewne niedogodności w życiu codziennym,some discomfort in everyday life
pierwotnym lub o innym przeznaczeniu,original purpose or for other
pierwszego okresu zobowiązań mogą być,first commitment period can be
plenarnym bez poprawek i debaty,plenary without amendment and debate
pod głosowanie najpierw tekst pierwotny,original text to the vote first
podejmują indywidualnie lub wspólnie niezbędne,individually or jointly take the necessary
podobnego komitetu platformy instytucjonalnej dla,similar institutional platform committee for
podstawę do wydania pozytywnej opinii,basis for the positive opinion issued
podziału pracy i liberalizacją handlu,division of labour and trade liberalization
polityczna stabilność i rozwój gospodarczy,political stability and economic development
polityki bezpieczeństwa i obrony porozumienie,security and defence policy interinstitutional agreement
polityki i programu działań wspólnoty,community policy and action programme
położeniu geograficznemu i tradycyjnym bliskim,geographical position and the traditional close
pomocą dla małych i średnich,help for small and medium
pomocy technicznej i wymiany informacji,technical assistance and information exchange
poprawę wiedzy naukowej poprzez badania,improvement of scientific knowledge through research
poprzez badania i rozwój technologiczny,through research and technological development
poprzez inne wewnętrzne i zewnętrzne,through other internal and external
poprzez regularny i systematyczny dialog,through regular and systematic dialogue
posiedzeniu plenarnym lub na kolejnym,plenary sitting or at the next
postępy w konstruktywnym dialogu politycznym,progress in constructive political dialogue
pośrednio lub bezpośrednio działalnością człowieka,directly or indirectly to human activity
potrzebę skutecznego zarządzania i koordynacji,need for effective management and coordination
powinien być kontynuowany w ramach,should be continued within the framework
powinno być zgodne oraz przyczyniać,should be compatible with and contribute
powyższa lista nie jest wyczerpująca,above list is not exhaustive
poziomem otwarcia rynku i rygorystycznymi,level of market opening and strict
pozytywne wyniki gospodarcze nie są,positive economic results achieved are not
prawdziwego miejsca dialogu i konsultacji,real venue for consultation and dialogue
procedury współpracy tytuł v stosunki,cooperation procedure title v relations
producenta pojazdów lub profesjonalnego importera,vehicle manufacturer or the professional importer
produkcji opakowań nie powinny dotyczyć,manufacturing of packaging should not apply
programem zbierania danych i informacji,programme for gathering data and information
programu prac na następny rok,work programme for the following year
protokołu na jego pierwszej sesji,protocol at its first session
prywatnych inwestycji w vet poprzez,private investment in vet through
przegląd ten zapewnia spójność między,this review shall ensure coherence between
przepisy o dostępie do informacji,provision for access to environmental information
przez działania wspólnoty i jej,action by the community and its
przez komisję i nie może,by the commission and may not
przez regionalne organizacje integracji gospodarczej,by a regional economic integration organization
przeznaczeniu pierwotnym lub o innym,original purpose or for other
przygranicznymi oraz harmonijnej integracji terytorialnej,border regions and harmonious territorial integration
przypadku w sposób dostosowany do,case in a manner tailored to
przywiązuje dużą wagę do roli,attaches great importance to the role
pułap rezerwy na gwarancje pożyczkowe,ceiling for the loan guarantee reserve
ramy dla pogłębiania dialogu politycznego,framework for deepening political dialogue
reformą parlamentarną i samorządem lokalnym,parliamentary reform and local self-government
regionalną organizacją integracji gospodarczej działając,regional economic integration organization acting
regionalne i lokalne oraz ich,regional and local authorities and their
